No.,Supplier,Website,Category,Product Name,Product Code,Specifications,Key Features,Applications
Thai Chau,thaichau.vn,Vai dia ky thuat khong det,Vai dia ky thuat khong det APT,APT 7 - APT 80,"Cuong do chiu keo: 7kN - 80kN/m (100g/m2 - 1200g/m2)
San xuat 100% PP, xuyen kim, phu gia UV
Day chuyen tu dong, cong nghe Han Quoc","Da dang cuong luc, tinh on dinh cao
Gia hop ly voi chat luong quoc te
Nguyen lieu PP nhap khau
Ho tro ky thuat chuyen mon","Phan cach, loc, tieu thoat nuoc
Bao ve, gia cuong nen dat yeu
Gia cau cau duong, san bay
Bao ve mang chong tham",
Thai Chau,thaichau.vn,Vai dia ky thuat det,Vai dia ky thuat det DML,DML,"San xuat tai nha may APT
Day chuyen tu dong, tieu chuan Han Quoc
100% nguyen lieu Polyester","Cuong luc chiu keo cao
Kha nang loc va thoat nuoc tot
Do ben moi truong cao","Gia cuong nen dat yeu
Loc va thoat nuoc
Chong xi mon ke song, bien",
Thai Chau,thaichau.vn,Bac tham,Bac tham PVD APT,VID / RID,"Bac tham dung va bac tham ngang
Cau tao: Loi PP/PET + Vo polyester
Co the dong xuong do sau >40m","Nguyen lieu nhap khau chat luong cao
Chong mai mon tot
Gia hop ly chat luong quoc te
Rut ngan thoi gian thi cong","Gia cuong nen dat yeu
On dinh nen cau duong, san bay
Xu ly moi truong dat o nhiem",
Thai Chau,thaichau.vn,Mang chong tham Bentonite,Mang chong tham Bentonite GCL,APT GCL,"Cong nghe det xuyen kim
Lop Bentonite kep giua 2 vai dia ky thuat
He so tham thap hon 10-100 lan so voi dat set day 60-90cm","De thi cong vung kho khan
Ngan o nhiem moi truong
Chat luong kiem soat dong nhat
Tiet kiem van tai","Lot day bai chon lap rac
Lot ao ho chat nhiem bat
Chong tham de dap, kenh muong
Lot day khu vui choi, san golf",
Thai Chau,thaichau.vn,Luoi dia ky thuat,Luoi dia ky thuat APT,PP / PET / Thuy tinh,"Luoi PP, luoi PET, luoi cot soi thuy tinh
Luoi hinh chu nhat, luoi tam giac
Da truc: don truc, da truc","Da dang san pham luoi
Cuong do chiu keo cao, bien dang thap
Ben voi tac dong ly hoa moi truong
Tuoi tho >100 nam","Tuong chan trong luc (cao toi 17m)
Mai doc (cao toi 50m)
Duong dan dau cau
Cai tao nang cap duong cao toc, san bay",
Thai Chau,thaichau.vn,O dia ky thuat (Geocell),O dia ky thuat Geocell APT,Geocell,"Tam HDPE lien ke han nhiet
Sau khi do dat/da soi tao ket cau gia cuong","Gia cuong nen dat
Chong xi mon mai doc
Cau truc to ong linh hoat","Gia cuong mai doc
On dinh nen duong
Chong xi mon be mat",
Thai Chau,thaichau.vn,Mang chong tham HDPE,Mang chong tham HDPE,HDPE 0.3 - 3.0mm,"Tu hat nhua HDPE mat do cao (>0.94g/cm3)
Do day: 0.3mm - 3.0mm
Co phu gia chong lao hoa, UV, khang hoa chat
Tuoi tho thiet ke >50 nam","Tinh tro ly, do ben cao
Tiet kiem chi phi van tai
Chat luong kiem soat dong nhat
Khong gay doc hai moi truong","Bai xu ly rac
Lot ho nuoi thuy san
Mang phu ho biogas
Chong tham de dap, san golf
Lot be chua xang dau",
Thai Chau,thaichau.vn,Ong dia ky thuat (Geotube),Ong dia ky thuat Geotube,Geotube,"Vai dia ky thuat det cuong luc cao
Polyester hoac Polypropylene
Khang nuoc bien, UV, chiu pH","Chiu moi truong nuoc bien
Khang tia cuc tim
Cau truc mem mai theo dia hinh","De pha song ngoai khai
Ke, bao bao, loi de
Xay dung ha tang hang hai
Ung pho lu lut",
Hung Phu,bactham.vn,Vai dia ky thuat khong det,Vai dia ky thuat khong det ART,ART 7 - ART 28,"ART 7: 7kN/m, CBR 1200N, O95 150um
ART 9: 9kN/m, CBR 1500N, O95 120um
ART 12: 12kN/m, CBR 1900N, O95 110um
ART 15: 15kN/m, CBR 2400N, O95 90um
ART 25: 25kN/m, CBR 4000N, O95 70um
Kho rong: 4m","Da dang cuong luc 7-28kN/m
Chiu keo, xuyen thung cao
Chong mai mon tot
Gia thanh hop ly","Gia cuong nen dat yeu
Loc va tieu thoat nuoc
Phan cach lop vat lieu
Bao ve mai doc",
Hung Phu,bactham.vn,Vai dia ky thuat det,Vai dia ky thuat det GET,GET 10 - GET 300,"GET 10: 100/50 kN/m, CBR >=4500N
GET 15: 150/50 kN/m, CBR >=5500N
GET 20: 200/50 kN/m, CBR >=7000N
GET 100: 100/100 kN/m, CBR >=6000N
GET 200: 200/200 kN/m, CBR >=15000N
GET 300: 300/300 kN/m, CBR >=18000N
Do gian: <=15%, UV >70%","Cuong luc chiu keo cao
Suat dan hoi cao
Kha nang loc thoat nuot tot
Khang UV >70%","Gia cuong nen dat yeu
Loc va thoat nuoc
Chong xi mon ke song, bien
Xay dung duong bo, duong sat",
